m    refMin    absMin    inputs    outputs    Size_SH1    Size_SH2    Size_SH3    Size_H1    Size_H2    Size_H3    Total_SH1    Total_SH2    Total_SH3    Total_H1    Total_H2    Total_H3    Impr_SH1    Impr_SH2    Impr_SH3    ImprLength_SH1    ImprLength_SH2    ImprLength_SH3    timeSH1    timeSH2    timeSH3
0    100    66    4    8    881    565    534    884    569    540    4935    4931    4604    4951    4953    4645    0.3394    0.703    1.111    0.3232    0.4442    0.8827    3541    63500    90670
0    100    67    4    8    884    556    528    886    561    535    4942    4853    4562    4954    4887    4600    0.2257    0.8913    1.308    0.2422    0.6957    0.8261    3618    63300    91470
0    100    68    4    8    883    554    528    885    560    534    4948    4853    4565    4961    4895    4607    0.226    1.071    1.124    0.262    0.858    0.9117    3575    63330    90100
0    100    69    4    8    884    556    530    886    561    536    4949    4863    4578    4960    4896    4619    0.2257    0.8913    1.119    0.2218    0.674    0.8876    3522    63090    91410
0    100    70    4    8    880    552    528    882    557    535    4923    4833    4561    4935    4868    4606    0.2268    0.8977    1.308    0.2432    0.719    0.977    3603    62910    91030
0    100    71    4    8    881    556    528    883    561    534    4928    4857    4552    4939    4887    4591    0.2265    0.8913    1.124    0.2227    0.6139    0.8495    3585    62430    90740
0    100    72    4    8    882    555    526    884    561    533    4939    4857    4556    4952    4890    4596    0.2262    1.07    1.313    0.2625    0.6748    0.8703    3517    63350    89910
0    100    73    4    8    883    552    528    885    559    535    4937    4836    4567    4948    4881    4613    0.226    1.252    1.308    0.2223    0.9219    0.9972    3585    62900    91320
0    100    74    4    8    881    554    530    883    559    536    4925    4871    4589    4937    4896    4629    0.2265    0.8945    1.119    0.2431    0.5106    0.8641    3547    63340    90890
0    100    75    4    8    883    555    528    886    561    535    4951    4858    4566    4966    4893    4611    0.3386    1.07    1.308    0.3021    0.7153    0.9759    3554    63200    91560
0    100    76    4    8    880    560    531    882    564    537    4925    4884    4576    4935    4912    4617    0.2268    0.7092    1.117    0.2026    0.57    0.888    3576    63230    91240
0    100    77    4    8    880    557    528    882    563    535    4907    4858    4555    4917    4905    4597    0.2268    1.066    1.308    0.2034    0.9582    0.9136    3583    62450    90190
0    100    78    4    8    880    559    532    883    561    536    4928    4905    4606    4942    4915    4629    0.3398    0.3565    0.7463    0.2833    0.2035    0.4969    3583    63170    90160
0    100    79    4    8    881    555    529    883    560    533    4934    4868    4577    4943    4897    4605    0.2265    0.8929    0.7505    0.1821    0.5922    0.608    3581    62980    90910
0    100    80    4    8    878    553    529    881    558    535    4906    4835    4565    4918    4866    4602    0.3405    0.8961    1.121    0.244    0.6371    0.804    3618    62850    90950
0    100    81    4    8    884    558    531    885    563    536    4909    4862    4562    4918    4892    4595    0.113    0.8881    0.9328    0.183    0.6133    0.7182    3678    63510    91210
0    100    82    4    8    882    553    530    883    557    534    4909    4823    4559    4916    4848    4584    0.1133    0.7181    0.7491    0.1424    0.5157    0.5454    3523    62720    91010
0    100    83    4    8    883    551    525    884    556    530    4911    4801    4526    4917    4833    4557    0.1131    0.8993    0.9434    0.122    0.6621    0.6803    3681    63390    90250
0    100    84    4    8    882    559    534    883    564    538    4911    4883    4591    4918    4913    4621    0.1133    0.8865    0.7435    0.1423    0.6106    0.6492    3551    63340    90970
0    100    85    4    8    885    559    532    886    562    535    4913    4863    4566    4918    4881    4588    0.1129    0.5338    0.5607    0.1017    0.3688    0.4795    3604    63250    90990
0    100    86    4    8    885    552    532    887    557    537    4930    4836    4582    4938    4862    4612    0.2255    0.8977    0.9311    0.162    0.5348    0.6505    3585    63160    89850
